INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2002.docx | 2018-04-07 14:05:57,964
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2002.docx | 2018-04-07 14:06:03,370
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2003.docx | 2018-04-07 14:06:03,370
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2003.docx | 2018-04-07 14:06:10,210
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2005.docx | 2018-04-07 14:06:10,210
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2005.docx | 2018-04-07 14:06:22,115
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2006.docx | 2018-04-07 14:06:22,115
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2006.docx | 2018-04-07 14:06:41,594
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2007.docx | 2018-04-07 14:06:41,594
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2007.docx | 2018-04-07 14:07:08,709
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2010.docx | 2018-04-07 14:07:08,709
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2010.docx | 2018-04-07 14:07:11,278
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2011.docx | 2018-04-07 14:07:11,293
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2011.docx | 2018-04-07 14:07:14,053
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2012.docx | 2018-04-07 14:07:14,053
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2012.docx | 2018-04-07 14:07:19,331
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2013.docx | 2018-04-07 14:07:19,347
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2013.docx | 2018-04-07 14:07:27,100
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2014.docx | 2018-04-07 14:07:27,100
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2014.docx | 2018-04-07 14:07:31,693
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2015.docx | 2018-04-07 14:07:31,693
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2015.docx | 2018-04-07 14:07:34,790
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2016.docx | 2018-04-07 14:07:34,790
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2016.docx | 2018-04-07 14:07:38,088
